Lp.;Nr_umowy;Data poczatku okresu ubezpieczenia;Data konca okresu ubezpieczenia;SU_v_PML;Odnow;Adres_Ulica_i_numer;Adres_Kod_pocztowy;Adres_Miasto;Adres_Wojewodztwo;Adres_Kraj;ReasekuracjaO;ReasekuracjaF
14;M10000834304;30.06.2021;29.06.2022;155000;TAK;Chodorówka Stara-Kolonia 41;16-150;Chodorówka Stara-Kolonia;podlaskie;Polska;1,2;
15;M1000127010;15.03.2021;14.03.2022;420000;TAK;Jaszowiecka 5;02-934;Warszawa;mazowieckie;Polska;1,2;
16;M10001399704;10.09.2021;09.09.2022;210000;TAK;Wojska Polskiego 263;25-205;Kielce;świętokrzyskie;Polska;1,2;
17;M10001403804;20.07.2021;19.07.2022;300000;TAK;Płk. Antoniego Lawicz-Liszki 13;06-500;Mława;mazowieckie;Polska;1,2;
18;M10001405304;24.07.2021;23.07.2022;380000;TAK;Nefrytowa 2;34-324;Twardorzeczka;śląskie;Polska;1,2;
19;M10001409204;12.08.2021;11.08.2022;1890000;TAK;Bluszczańska 6;00-712;Warszawa;mazowieckie;Polska;1,2;
20;M1000152910;16.03.2021;15.03.2022;190000;TAK;Sławska 6;67-112;Siedlisko;lubuskie;Polska;1,2;
21;M1000160210;01.04.2021;31.03.2022;240000;TAK;Marii Skłodowskiej-Curie 2;18-400;Łomża;podlaskie;Polska;1,2;
22;M1000185510;02.04.2021;01.04.2022;390000;TAK;Korkowa 135a;04-549;Warszawa;mazowieckie;Polska;1,2;
23;M10003486804;12.07.2021;11.07.2022;370000;TAK;Powstańców Warszawy 8B;73-110;Stargard Szczeciński;zachodniopomorskie;Polska;1,2;
24;M1000398210;18.03.2021;17.03.2022;210000;TAK;Bojkowska 18;44-100;Gliwice;śląskie;Polska;1,2;
25;M10004022604;10.07.2021;09.07.2022;250000;TAK;Dorycka 6;01-964;Warszawa;mazowieckie;Polska;1,2;
26;M10004024604;01.07.2021;30.06.2022;720000;TAK;Szkolna 131;42-100;Kłobuck;śląskie;Polska;1,2;
27;M10004026804;30.06.2021;29.06.2022;130000;TAK;Aleja Niepodległości 92-98;02-585;Warszawa;mazowieckie;Polska;1,2;
28;M1000403110;02.04.2021;01.04.2022;320000;TAK;Sielecka 2b;00-738;Warszawa;mazowieckie;Polska;1,2;
29;M10004038104;30.06.2021;29.06.2022;105000;TAK;Zduny 15;85-055;Bydgoszcz;kujawsko-pomorskie;Polska;1,2;
30;M10004040604;01.07.2021;30.06.2022;150000;TAK;Adama Mickiewicza 82;59-300;Lubin;dolnośląskie;Polska;1,2;
31;M10004043004;01.07.2021;30.06.2022;710000;TAK;Aleja Miętowa 11;45-940;Opole;opolskie;Polska;1,2;
32;M1000405110;21.03.2021;20.03.2022;90000;TAK;Zawiszy Czarnego 12;68-200;Żary;lubuskie;Polska;1,2;
33;M10004095304;30.06.2021;29.06.2022;630000;TAK;Zagumienna 69A;15-866;Białystok;podlaskie;Polska;1,2;
34;M10004103404;30.06.2021;29.06.2022;425000;TAK;Tarnówko 31;64-712;Tarnówko;wielkopolskie;Polska;1,2;
35;M10004247704;30.06.2021;29.06.2022;360000;TAK;Witolda Sławińskiego 31;15-349;Białystok;podlaskie;Polska;1,2;
36;M1000440810;01.04.2021;31.03.2022;120000;TAK;Kosmowskiej Ireny 1C;20-815;Lublin;lubelskie;Polska;1,2;
37;M10004440004;29.06.2021;28.06.2022;160000;TAK;Konstytucji 3 Maja 73b;69-100;Słubice;lubuskie;Polska;1,2;
38;M10004440104;08.07.2021;07.07.2022;80000;TAK;Romualda Millera 10;01-496;Warszawa;mazowieckie;Polska;1,2;
39;M10004440504;05.08.2021;04.08.2022;50000;TAK;Aleksandrowska 18 blok 7;91-120;Łódź;łódzkie;Polska;1,2;
40;M10004441704;04.07.2021;03.07.2022;166000;TAK;Marii Grzegorzewskiej 2;02-778;Warszawa;mazowieckie;Polska;1,2;
41;M10004442704;08.08.2021;07.08.2022;525000;TAK;Lawendowa 15;05-504;Łoś;mazowieckie;Polska;1,2;
42;M10004449504;23.08.2021;22.08.2022;420000;TAK;Jana Kazimierza 13;01-248;Warszawa;mazowieckie;Polska;1,2;
43;M10004450604;10.08.2021;09.08.2022;500000;TAK;Mikołajczyka 39;63-330;Dobrzyca;wielkopolskie;Polska;1,2;
44;M10004450704;30.06.2021;29.06.2022;280000;TAK;ks. Teofila Boguckiego 3a;01-508;Warszawa;mazowieckie;Polska;1,2;
45;M10004453504;26.07.2021;25.07.2022;290000;TAK;Kołowa 16/24;93-142;Łódź;łódzkie;Polska;1,2;
46;M10004456504;10.11.2021;09.11.2022;480000;TAK;Przyjazna 12;05-140;Marynino;mazowieckie;Polska;1,2;
47;M10004459704;11.08.2021;10.08.2022;405000;TAK;Hipolita Cegielskiego 18;62-020;Swarzędz;wielkopolskie;Polska;1,2;
48;M10004466104;01.08.2021;31.07.2022;210000;TAK;Poprzeczna 3;73-140;Ińsko;zachodniopomorskie;Polska;1,2;
49;M10004601204;21.11.2021;20.11.2022;323000;TAK;Ząbkowska 16;03-735;Warszawa;mazowieckie;Polska;1,2;
50;M10004615204;30.06.2021;29.06.2022;580000;TAK;Buska 18;02-924;Warszawa;mazowieckie;Polska;1,2;
51;M1000486010;15.03.2021;14.03.2022;320000;TAK;Sieczna 69;03-290;Warszawa;mazowieckie;Polska;1,2;
52;M10004908704;30.06.2021;29.06.2022;130000;TAK;1 Maja 31;11-130;Orneta;warmińsko-mazurskie;Polska;1,2;
53;M10005048704;30.06.2021;29.06.2022;450000;TAK;Stare Załucze 54a;22-234;Stare Załucze;lubelskie;Polska;1,2;
54;M10005055104;30.06.2021;29.06.2022;265000;TAK;Falista 5;61-249;Poznań;wielkopolskie;Polska;1,2;
55;M1000519310;25.03.2021;24.03.2022;200000;TAK;Grochowe Łąki 1;61-752;Poznań;wielkopolskie;Polska;1,2;
56;M10005299904;13.07.2021;12.07.2022;230000;TAK;Ignacego Mościckiego 7;83-000;Pruszcz Gdański;pomorskie;Polska;1,2;
57;M10005302604;30.06.2021;29.06.2022;130000;TAK;Misiągiewicza 18;37-200;Przeworsk;podkarpackie;Polska;1,2;
58;M1000539010;15.03.2021;14.03.2022;340000;TAK;Jeżewo 30;95-001;Jeżewo;łódzkie;Polska;1,2;
59;M1000539910;13.03.2021;12.03.2022;1060000;TAK;Długa 8;05-806;Granica;mazowieckie;Polska;1,2;
60;M10005672304;30.06.2021;29.06.2022;170000;TAK;Bolesława Chrobrego 19;08-119;Siedlce;mazowieckie;Polska;1,2;
61;M10005860204;30.06.2021;29.06.2022;425000;TAK;gen. Józefa Hallera 4B;10-693;Olsztyn;warmińsko-mazurskie;Polska;1,2;
62;M10006155104;30.06.2021;29.06.2022;530000;TAK;Marynarska 20;15-591;Białystok;podlaskie;Polska;1,2;
63;M10006571504;05.07.2021;04.07.2022;885000;TAK;Srebrnych Świerków 53;05-500;Julianów;mazowieckie;Polska;1,2;
64;M10006993204;08.07.2021;07.07.2022;415000;TAK;Polskiego Czerwonego Krzyża 7;81-621;Gdynia;pomorskie;Polska;1,2;
65;M10006993504;01.08.2021;31.07.2022;170000;TAK;Sokratesa 13D;01-909;Warszawa;mazowieckie;Polska;1,2;
66;M10006993704;30.06.2021;29.06.2022;142000;TAK;Tropiszewo 4a/1;82-224;Tropiszewo;pomorskie;Polska;1,2;
67;M10006995304;19.12.2021;18.12.2022;620000;TAK;Słoneczna 5a;05-126;Stanisławów Pierwszy;mazowieckie;Polska;1,2;
68;M10006996604;30.06.2021;29.06.2022;330000;TAK;Jana Karskiego 57A;25-214;Kielce;świętokrzyskie;Polska;1,2;
69;M10006998804;03.07.2021;02.07.2022;770000;TAK;Izabelińska 81a;05-082;Stare Babice;mazowieckie;Polska;1,2;
70;M10007000604;01.07.2021;30.06.2022;140000;TAK;Henryka Sienkiewicza 29;37-400;Nisko;podkarpackie;Polska;1,2;
71;M10007007404;14.07.2021;13.07.2022;370000;TAK;Aluzyjna 25d;03-149;Warszawa;mazowieckie;Polska;1,2;
72;M10007015704;30.06.2021;29.06.2022;515000;TAK;Bazylijska 42;95-100;Zgierz;łódzkie;Polska;1,2;
73;M10007976304;01.07.2021;30.06.2022;400000;TAK;Głuska 253A;20-385;Lublin;lubelskie;Polska;1,2;
74;M10008084004;30.06.2021;29.06.2022;185000;TAK;Grzegorza Kunawina 32;16-200;Dąbrowa Białostocka;podlaskie;Polska;1,2;
75;M10008349904;08.07.2021;07.07.2022;830000;TAK;Jana Pawła II 74;32-091;Michałowice;małopolskie;Polska;1,2;
76;M10008351704;01.07.2021;30.06.2022;700000;TAK;dr. Henryka Jordana 4a;44-193;Knurów;śląskie;Polska;1,2;
77;M10008841904;30.06.2021;29.06.2022;360000;TAK;Pelikana 19;71-698;Szczecin;zachodniopomorskie;Polska;1,2;
78;M10008969704;01.07.2021;30.06.2022;242000;TAK;Aleja Zjednoczenia 11;01-829;Warszawa;mazowieckie;Polska;1,2;
79;M10009279204;02.07.2021;01.07.2022;110000;TAK;Jarosława Dąbrowskiego 14;02-558;Warszawa;mazowieckie;Polska;1,2;
80;M10010530504;01.07.2021;30.06.2022;50000;TAK;Rzeszowska 4c;37-400;Nisko;podkarpackie;Polska;1,2;
81;M10010996104;06.07.2021;05.07.2022;160000;TAK;Sowiniecka 46C;62-050;Mosina;wielkopolskie;Polska;1,2;
82;M10011544804;01.07.2021;30.06.2022;220000;TAK;Arbuzowa 9a;54-054;Wrocław;dolnośląskie;Polska;1,2;
83;M10011762304;03.07.2021;02.07.2022;450000;TAK;Kuznocin 70;96-500;Sochaczew;mazowieckie;Polska;1,2;
84;M10011768904;01.08.2021;31.07.2022;415000;TAK;Ks. bp. Władysława Bandurskiego 88;71-685;Szczecin;zachodniopomorskie;Polska;1,2;
85;M10011779304;01.07.2021;30.06.2022;253000;TAK;Hawelańska 11;61-625;Poznań;wielkopolskie;Polska;1,2;
86;M10011788404;12.07.2021;11.07.2022;150000;TAK;Bledzianów 49;63-500;Bledzianów;wielkopolskie;Polska;1,2;
87;M10012567704;09.07.2021;08.07.2022;180000;TAK;Wiadukt 5A;15-327;Białystok;podlaskie;Polska;1,2;
88;M10012685204;04.07.2021;03.07.2022;266000;TAK;Eugeniusza Romera 28;20-487;Lublin;lubelskie;Polska;1,2;
89;M1001269410;16.03.2021;15.03.2022;590000;TAK;Spiska 2a;02-302;Warszawa;mazowieckie;Polska;1,2;
90;M10012834104;04.07.2021;03.07.2022;560000;TAK;Zamkowa 17;06-300;Przasnysz;mazowieckie;Polska;1,2;
91;M10012859904;01.07.2021;30.06.2022;485000;TAK;Nadrzeczna 23;23-250;Urzędów;lubelskie;Polska;1,2;
92;M10013025004;01.07.2021;30.06.2022;200000;TAK;Dolna 17;99-400;Łowicz;łódzkie;Polska;1,2;
93;M1001309110;01.04.2021;31.03.2022;170000;TAK;Kiełmina 54b;95-010;Kiełmina;łódzkie;Polska;1,2;
94;M10013295204;02.07.2021;01.07.2022;155000;TAK;Gąsawska 64;64-500;Gąsawy;wielkopolskie;Polska;1,2;
95;M10013410504;30.07.2021;29.07.2022;130000;TAK;gen. Jarosława Dąbrowskiego 12;89-200;Szubin;kujawsko-pomorskie;Polska;1,2;
96;M10013414604;19.07.2021;18.07.2022;274000;TAK;Sosnowa 18;16-124;Sidra;podlaskie;Polska;1,2;
97;M1001343010;21.03.2021;20.03.2022;700000;TAK;Giebułtów, Generała Jana Karcza 6;32-085;Modlnica;małopolskie;Polska;1,2;
98;M10013745104;28.07.2021;27.07.2022;260000;TAK;Jarnołtówek 220;48-267;Jarnołtówek;opolskie;Polska;1,2;
99;M10013773404;17.07.2021;16.07.2022;350000;TAK;Kasztanowa 20;55-080;Smolec;dolnośląskie;Polska;1,2;
100;M10014257504;01.07.2021;30.06.2022;600000;TAK;Nugat 9;02-776;Warszawa;mazowieckie;Polska;1,2;
101;M10014413004;01.07.2021;30.06.2022;520000;TAK;Stolarska 9;95-100;Zgierz;łódzkie;Polska;1,2;
102;M10014652804;04.07.2021;03.07.2022;205000;TAK;Olimpiów 16 A;26-341;Olimpiów;łódzkie;Polska;1,2;
103;M10014654204;07.07.2021;06.07.2022;297792;TAK;Spokojna 20;63-714;Tomnice;wielkopolskie;Polska;1,2;
104;M10014658404;23.07.2021;22.07.2022;670000;TAK;Bursztynowa 11;62-003;Biedrusko;wielkopolskie;Polska;1,2;
105;M10015421104;01.07.2021;30.06.2022;350000;TAK;Różankowo,Nr działki 221/9;87-148;Różankowo;kujawsko-pomorskie;Polska;1,2;
106;M1001555210;15.04.2021;14.04.2022;140000;TAK;Kalinowa 5;41-200;Sosnowiec;śląskie;Polska;1,2;
107;M10015746504;01.07.2021;30.06.2022;410000;TAK;Zdrojki Lewe 78;62-700;Turek;wielkopolskie;Polska;1,2;
108;M1001576310;17.05.2021;16.05.2022;170000;TAK;Władysława Stanisława Reymonta 64;32-332;Bukowno;małopolskie;Polska;1,2;
109;M10015844204;01.08.2021;31.07.2022;150000;TAK;Olszyn 81;21-504;Olszyn;lubelskie;Polska;1,2;
110;M10015851804;20.07.2021;19.07.2022;430000;TAK;Ks. Romualda Żurowskiego 2;62-035;Kórnik;wielkopolskie;Polska;1,2;
111;M10015853404;01.07.2021;30.06.2022;410000;TAK;Sosnowiecka 10;01-496;Warszawa;mazowieckie;Polska;1,2;
112;M10016079604;05.07.2021;04.07.2022;273000;TAK;Sarcz 31c;64-980;Sarcz;wielkopolskie;Polska;1,2;
113;M1001613910;22.03.2021;21.03.2022;220000;TAK;Księżycowa 1;05-400;Otwock;mazowieckie;Polska;1,2;
114;M10016253704;01.07.2021;30.06.2022;310000;TAK;Suchoniowa 4;34-340;Jeleśnia;śląskie;Polska;1,2;
115;M1001628310;20.05.2021;19.05.2022;540000;TAK;Narutowicza 19a;05-071;Sulejówek;mazowieckie;Polska;1,2;
116;M10016291704;30.06.2021;29.06.2022;530000;TAK;Stefana Kisielewskiego 5H;05-123;Chotomów;mazowieckie;Polska;1,2;
117;M10016301704;03.07.2021;02.07.2022;770000;TAK;Graniczna 24;05-555;Ruda;mazowieckie;Polska;1,2;
118;M10016302304;04.07.2021;03.07.2022;490000;TAK;Władysława Stanisława Reymonta 19;05-091;Ząbki;mazowieckie;Polska;1,2;
119;M10016303604;10.07.2021;09.07.2022;160000;TAK;Źródłowa 39;91-735;Łódź;łódzkie;Polska;1,2;
120;M10016312304;07.07.2021;06.07.2022;310000;TAK;Jana Kochanowskiego 2;57-320;Polanica-Zdrój;dolnośląskie;Polska;1,2;
121;M1001632010;20.04.2021;19.04.2022;300000;TAK;Słomiana 13;30-316;Kraków;małopolskie;Polska;1,2;
122;M10016411004;12.07.2021;11.07.2022;110000;TAK;Rudłowo 8;14-500;Rudłowo;warmińsko-mazurskie;Polska;1,2;
123;M10016509204;06.07.2021;05.07.2022;160000;TAK;Wodniaków 5;08-101;Siedlce;mazowieckie;Polska;1,2;
124;M10016840304;01.07.2021;30.06.2022;180000;TAK;Parkowa 3;88-180;Złotniki Kujawskie;kujawsko-pomorskie;Polska;1,2;
125;M10017427804;24.07.2021;23.07.2022;730000;TAK;Obrzeżna 1C;02-691;Warszawa;mazowieckie;Polska;1,2;
126;M10017872004;01.07.2021;30.06.2022;210000;TAK;Marii Skłodowskiej-Curie 18;26-300;Opoczno;łódzkie;Polska;1,2;
127;M10017912004;09.07.2021;08.07.2022;1030000;TAK;Spacerowa 12;32-095;Narama;małopolskie;Polska;1,2;
128;M10018412404;07.07.2021;06.07.2022;315000;TAK;Słoneczna 3;84-312;Cewice;pomorskie;Polska;1,2;
129;M10018547404;01.07.2021;30.06.2022;210000;TAK;Blacharska 1;02-660;Warszawa;mazowieckie;Polska;1,2;
130;M10018551304;01.07.2021;30.06.2022;500000;TAK;Słoneczna 2;66-600;Bielów;lubuskie;Polska;1,2;
131;M10018598104;04.07.2021;03.07.2022;1020000;TAK;Białołęcka 372a;03-253;Warszawa;mazowieckie;Polska;1,2;
132;M10018959404;01.07.2021;30.06.2022;210000;TAK;Bałtycka 32;61-017;Poznań;wielkopolskie;Polska;1,2;
133;M10019720604;26.07.2021;25.07.2022;315000;TAK;Ostrobramska 83b;04-175;Warszawa;mazowieckie;Polska;1,2;
134;M10019958304;01.07.2021;30.06.2022;160000;TAK;Bałtycka 32;61-017;Poznań;wielkopolskie;Polska;1,2;
135;M10019964304;01.07.2021;30.06.2022;359000;TAK;Powiercie 161;62-600;Powiercie;wielkopolskie;Polska;1,2;
136;M10020526904;01.07.2021;30.06.2022;460000;TAK;Na Górce 35;11-730;Mikołajki;warmińsko-mazurskie;Polska;1,2;
137;M10020910504;06.07.2021;05.07.2022;510000;TAK;Ulesie 18i;59-222;Ulesie;dolnośląskie;Polska;1,2;
138;M10021570404;06.12.2021;05.12.2022;419000;TAK;Aleksandra Prystora 4A;02-497;Warszawa;mazowieckie;Polska;1,2;
139;M10021742904;12.07.2021;11.07.2022;300000;TAK;Jagodowa 16;43-418;Brzezówka;śląskie;Polska;1,2;
140;M1002326310;24.03.2021;23.03.2022;700000;TAK;Kępna 2B;03-730;Warszawa;mazowieckie;Polska;1,2;
141;M1002328410;08.04.2021;07.04.2022;200000;TAK;Gustawa Morcinka 21;44-284;Pstrążna;śląskie;Polska;1,2;
142;M10024115004;02.07.2021;01.07.2022;400000;TAK;Annobór-Kolonia 14;21-100;Annobór-Kolonia;lubelskie;Polska;1,2;
143;M1002430410;27.04.2021;26.04.2022;200000;TAK;Trzebińska 25;32-540;Młoszowa;małopolskie;Polska;1,2;
144;M10024565204;25.07.2021;24.07.2022;520000;TAK;Grzegórzecka 85;31-559;Kraków;małopolskie;Polska;1,2;
145;M1002467410;25.11.2021;24.11.2022;450000;TAK;Alfreda Nobla 27;03-930;Warszawa;mazowieckie;Polska;1,2;
146;M10024756904;16.07.2021;15.07.2022;170000;TAK;Ks. Piotra Ściegiennego 40;70-354;Szczecin;zachodniopomorskie;Polska;1,2;
147;M10024757704;04.07.2021;03.07.2022;400000;TAK;Kajetana Koźmiana 2;01-606;Warszawa;mazowieckie;Polska;1,2;
148;M10024758404;09.07.2021;08.07.2022;595000;TAK;Fabryczna 13;95-020;Andrespol;łódzkie;Polska;1,2;
149;M10024761404;04.07.2021;03.07.2022;370000;TAK;Rodzinna 7;80-297;Banino;pomorskie;Polska;1,2;
150;M10024776804;20.07.2021;19.07.2022;335000;TAK;Orzycka 18;02-695;Warszawa;mazowieckie;Polska;1,2;
151;M10024867304;02.07.2021;01.07.2022;215000;TAK;Nowolipki 13;00-151;Warszawa;mazowieckie;Polska;1,2;
152;M10024933704;02.07.2021;01.07.2022;110000;TAK;Pana Wołodyjowskiego 3;20-627;Lublin;lubelskie;Polska;1,2;
153;M10025314004;07.07.2021;06.07.2022;231760;TAK;Morska 43;81-323;Gdynia;pomorskie;Polska;1,2;
154;M1002563410;01.04.2021;31.03.2022;440000;TAK;Beskidzka 16;43-450;Ustroń;śląskie;Polska;1,2;
155;M10025869104;02.07.2021;01.07.2022;260000;TAK;Grunwaldzka 9;32-020;Wieliczka;małopolskie;Polska;1,2;
156;M10025871904;07.07.2021;06.07.2022;358480;TAK;Morska 45;81-323;Gdynia;pomorskie;Polska;1,2;
157;M10025997204;02.07.2021;01.07.2022;400000;TAK;Akacjowa 10;59-724;Osiecznica;dolnośląskie;Polska;1,2;
158;M10025998904;02.07.2021;01.07.2022;300000;TAK;Łąkowa 6;42-520;Dąbrowa Górnicza;śląskie;Polska;1,2;
159;M1002604910;21.03.2021;20.03.2022;100000;TAK;Jabłeczna 10;50-539;Wrocław;dolnośląskie;Polska;1,2;
160;M10026463304;02.07.2021;01.07.2022;180000;TAK;Łużycka 63;30-658;Kraków;małopolskie;Polska;1,2;
161;M10027872704;10.07.2021;09.07.2022;326800;TAK;Romana Maya 35A;64-500;Szamotuły;wielkopolskie;Polska;1,2;
162;M10028017004;02.07.2021;01.07.2022;1030000;TAK;Lazurowa 25;06-413;Ciechanów;mazowieckie;Polska;1,2;
163;M1002874110;15.06.2021;14.06.2022;240000;TAK;Mjr.Pil.Jana Czernego 4;44-100;Gliwice;śląskie;Polska;1,2;
164;M1002897610;01.05.2021;30.04.2022;340000;TAK;Wybickiego 1;78-400;Szczecinek;zachodniopomorskie;Polska;1,2;
165;M1002965910;25.03.2021;24.03.2022;420000;TAK;Jana III Sobieskiego 62;02-930;Warszawa;mazowieckie;Polska;1,2;
166;M10029713204;03.07.2021;02.07.2022;900000;TAK;Jeździecka 13;05-462;Kopki;mazowieckie;Polska;1,2;
167;M10030569604;12.07.2021;11.07.2022;360000;TAK;Zimowa 9;43-100;Tychy;śląskie;Polska;1,2;
168;M10030991604;08.07.2021;07.07.2022;645000;TAK;Chomęcicka 4;60-101;Poznań;wielkopolskie;Polska;1,2;
169;M1003148510;17.03.2021;16.03.2022;347000;TAK;Wojska Polskiego 70;05-800;Pruszków;mazowieckie;Polska;1,2;
170;M1003162210;01.05.2021;30.04.2022;313000;TAK;Bednarska 12;00-310;Warszawa;mazowieckie;Polska;1,2;
171;M1003226010;25.03.2021;24.03.2022;500000;TAK;Kompasowa 1;04-048;Warszawa;mazowieckie;Polska;1,2;
172;M1003246110;01.04.2021;31.03.2022;150000;TAK;Wojska Polskiego 52;19-101;Mońki;podlaskie;Polska;1,2;
173;M1003250010;30.03.2021;29.03.2022;180000;TAK;Sienkiewicza 50;05-082;Stare Babice;mazowieckie;Polska;1,2;
174;M10034670304;03.07.2021;02.07.2022;200000;TAK;Warneńska 8A;80-288;Gdańsk;pomorskie;Polska;1,2;
175;M1003474010;01.06.2021;31.05.2022;1430000;TAK;Nowoursynowska 113e;02-797;Warszawa;mazowieckie;Polska;1,2;
176;M10034862604;05.07.2021;04.07.2022;520000;TAK;Myśliwska 123;80-175;Gdańsk;pomorskie;Polska;1,2;
177;M10034868804;25.07.2021;24.07.2022;490000;TAK;Osiedle Tygrysie 40A;62-023;Dachowa;wielkopolskie;Polska;1,2;
178;M1003512210;23.04.2021;22.04.2022;320000;TAK;Zeusa 4;80-180;Kowale;pomorskie;Polska;1,2;
179;M1003547310;21.05.2021;20.05.2022;90000;TAK;Srebrna 6;05-803;Pruszków;mazowieckie;Polska;1,2;
180;M10035555104;03.07.2021;02.07.2022;330000;TAK;Myśliwskie Wzgórze 1C;80-283;Gdańsk;pomorskie;Polska;1,2;
181;M1003634410;30.04.2021;29.04.2022;310000;TAK;Kazimierza Porębskiego 42;80-180;Gdańsk;pomorskie;Polska;1,2;
182;M10036964404;04.07.2021;03.07.2022;145000;TAK;Antoniego Kaliny 18;71-118;Szczecin;zachodniopomorskie;Polska;1,2;
183;M10037180304;08.07.2021;07.07.2022;300000;TAK;Szafirowa 7;09-400;Ludwikowo;mazowieckie;Polska;1,2;
184;M10037186804;10.08.2021;09.08.2022;720000;TAK;Jastków 128k;21-002;Jastków;lubelskie;Polska;1,2;
185;M10037194204;15.07.2021;14.07.2022;510000;TAK;Wesoła 6b;05-220;Zielonka;mazowieckie;Polska;1,2;
186;M10037196704;04.07.2021;03.07.2022;520000;TAK;Kalinowa 13;76-039;Stare Bielice;zachodniopomorskie;Polska;1,2;
187;M10037261204;06.07.2021;05.07.2022;330000;TAK;Stegny 31;14-400;Stegny;warmińsko-mazurskie;Polska;1,2;
188;M1003739010;25.03.2021;24.03.2022;140000;TAK;Alfonsa Zgrzebnioka 8a;41-705;Ruda Śląska;śląskie;Polska;1,2;
189;M10037534704;01.09.2021;31.08.2022;640000;TAK;Gorlicka 29;71-042;Szczecin;zachodniopomorskie;Polska;1,2;
190;M10037539304;12.07.2021;11.07.2022;150000;TAK;Niepodległości 9;74-100;Gryfino;zachodniopomorskie;Polska;1,2;
191;M10037539604;12.07.2021;11.07.2022;150000;TAK;Bohaterów Warszawy 48b;73-140;Ińsko;zachodniopomorskie;Polska;1,2;
192;M10037545104;04.07.2021;03.07.2022;130000;TAK;Piastowska 2;14-200;Iława;warmińsko-mazurskie;Polska;1,2;
193;M10037556504;06.07.2021;05.07.2022;920000;TAK;Kaliny Jędrusik 3;01-748;Warszawa;mazowieckie;Polska;1,2;
194;M10037557304;04.07.2021;03.07.2022;150000;TAK;Zygmunta Krasińskiego 75;05-120;Legionowo;mazowieckie;Polska;1,2;
195;M10037880204;10.07.2021;09.07.2022;430000;TAK;Walerego Wróblewskiego 14;41-711;Ruda Śląska;śląskie;Polska;1,2;
196;M10037924204;04.07.2021;03.07.2022;191500;TAK;Słowiańska 3;74-100;Gryfino;zachodniopomorskie;Polska;1,2;
197;M10037939904;10.07.2021;09.07.2022;260000;TAK;Bajki 3a;80-706;Gdańsk;pomorskie;Polska;1,2;
198;M10038234304;04.07.2021;03.07.2022;335000;TAK;Sienkiewicza 13;62-120;Wapno;wielkopolskie;Polska;1,2;
199;M10038282004;04.07.2021;03.07.2022;400000;TAK;Zakościele 25a;28-400;Bogucice Pierwsze;świętokrzyskie;Polska;1,2;
200;M10038282404;15.07.2021;14.07.2022;385000;TAK;Przewóz 32B;30-716;Kraków;małopolskie;Polska;1,2;
201;M1003832710;22.03.2021;21.03.2022;520000;TAK;Nadbrzeż 29B;05-480;Nadbrzeż;mazowieckie;Polska;1,2;
202;M1003835910;18.04.2021;17.04.2022;692000;TAK;Jana Olbrachta 112;01-373;Warszawa;mazowieckie;Polska;1,2;
203;M1003836810;18.07.2021;17.07.2022;520000;TAK;Marczukowska 63;15-724;Białystok;podlaskie;Polska;1,2;
204;M10038563504;23.07.2021;22.07.2022;270000;TAK;Franciszka Fenikowskiego 15;84-200;Wejherowo;pomorskie;Polska;1,2;
205;M10039131404;01.10.2021;30.09.2022;310000;TAK;Grenadierów 13;04-052;Warszawa;mazowieckie;Polska;1,2;
206;M10039132604;13.07.2021;12.07.2022;420000;TAK;Jana Pawła II 25B;05-091;Ząbki;mazowieckie;Polska;1,2;
